2024-10-10 17:15:11,005 INFO    MainThread:3203779 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-10-10 17:15:11,006 INFO    MainThread:3203779 [wandb_setup.py:_flush():77] Configure stats pid to 3203779
2024-10-10 17:15:11,006 INFO    MainThread:3203779 [wandb_setup.py:_flush():77] Loading settings from /home/wg25r/.config/wandb/settings
2024-10-10 17:15:11,006 INFO    MainThread:3203779 [wandb_setup.py:_flush():77] Loading settings from /home/wg25r/gas_dino/wandb/settings
2024-10-10 17:15:11,006 INFO    MainThread:3203779 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-10-10 17:15:11,006 INFO    MainThread:3203779 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-10 17:15:11,006 INFO    MainThread:3203779 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/wg25r/gas_dino/main.py', 'program': '/home/wg25r/gas_dino/main.py'}
2024-10-10 17:15:11,006 INFO    MainThread:3203779 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-10-10 17:15:11,006 INFO    MainThread:3203779 [wandb_init.py:_log_setup():532] Logging user logs to /home/wg25r/gas_dino/wandb/run-20241010_171511-1hxz3yd2/logs/debug.log
2024-10-10 17:15:11,006 INFO    MainThread:3203779 [wandb_init.py:_log_setup():533] Logging internal logs to /home/wg25r/gas_dino/wandb/run-20241010_171511-1hxz3yd2/logs/debug-internal.log
2024-10-10 17:15:11,006 INFO    MainThread:3203779 [wandb_init.py:init():616] calling init triggers
2024-10-10 17:15:11,006 INFO    MainThread:3203779 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {'lr': 3e-05, 'batch_size': 32}
2024-10-10 17:15:11,006 INFO    MainThread:3203779 [wandb_init.py:init():666] starting backend
2024-10-10 17:15:11,006 INFO    MainThread:3203779 [wandb_init.py:init():670] setting up manager
2024-10-10 17:15:11,007 INFO    MainThread:3203779 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-10 17:15:11,008 INFO    MainThread:3203779 [wandb_init.py:init():678] backend started and connected
2024-10-10 17:15:11,011 INFO    MainThread:3203779 [wandb_init.py:init():773] updated telemetry
2024-10-10 17:15:11,017 INFO    MainThread:3203779 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-10-10 17:15:11,798 INFO    MainThread:3203779 [wandb_init.py:init():857] starting run threads in backend
2024-10-10 17:15:12,005 INFO    MainThread:3203779 [wandb_run.py:_console_start():2459] atexit reg
2024-10-10 17:15:12,006 INFO    MainThread:3203779 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-10-10 17:15:12,006 INFO    MainThread:3203779 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-10-10 17:15:12,006 INFO    MainThread:3203779 [wandb_run.py:_redirect():2397] Redirects installed.
2024-10-10 17:15:12,007 INFO    MainThread:3203779 [wandb_init.py:init():900] run started, returning control to user process
2024-10-10 17:15:36,249 WARNING MsgRouterThr:3203779 [router.py:message_loop():77] message_loop has been closed
